,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1049,2020-10-26,630.0,631.59,615.83,622.19,560.34,686100,686100,-7.81,-1.24,624.9025,"October 26, 20",-0.0124
1050,2020-10-23,637.87,639.16,633.51,637.31,573.96,494217,494217,-0.56,-0.08779218,636.9625,"October 23, 20",-0.0008779218
1051,2020-10-22,635.0,637.83,629.82,635.18,572.04,483384,483384,0.18,0.02834646,634.4575,"October 22, 20",0.0002834646
1052,2020-10-21,646.58,653.72,634.82,634.99,571.87,452696,452696,-11.59,-1.79,642.5275,"October 21, 20",-0.0179
1053,2020-10-20,636.62,650.98,636.62,645.07,580.95,473550,473550,8.45,1.33,642.3225,"October 20, 20",0.0133
1054,2020-10-19,658.25,666.64,633.03,634.89,571.78,775700,775700,-23.36,-3.55,648.2025,"October 19, 20",-0.0355
1055,2020-10-16,652.04,659.57,648.0,657.38,592.03,765555,765555,5.34,0.81897,654.2475,"October 16, 20",0.0081897
1056,2020-10-15,634.09,648.9,632.64,646.24,582.0,792733,792733,12.15,1.92,640.4675,"October 15, 20",0.0192
1057,2020-10-14,641.83,643.46,634.05,639.85,576.25,694202,694202,-1.98,-0.30849,639.7975,"October 14, 20",-0.0030849
1058,2020-10-13,634.17,646.29,626.16,638.96,575.44,1155021,1155021,4.79,0.75532,636.395,"October 13, 20",0.0075532
1059,2020-10-12,615.37,620.66,613.66,614.89,553.77,644719,644719,-0.48,-0.07800185,616.145,"October 12, 20",-0.0007800185
1060,2020-10-09,610.6,614.3,606.58,611.57,550.78,525143,525143,0.97,0.15886,610.7625,"October 09, 20",0.0015886
1061,2020-10-08,595.36,606.21,594.34,604.44,544.36,538100,538100,9.08,1.53,600.0875,"October 08, 20",0.0153
1062,2020-10-07,584.32,592.79,584.32,592.05,533.2,573701,573701,7.73,1.32,588.37,"October 07, 20",0.0132
1063,2020-10-06,580.98,590.6,578.13,580.23,522.55,704311,704311,-0.75,-0.12909,582.485,"October 06, 20",-0.0012909
1064,2020-10-05,574.7,581.52,573.0,580.98,523.23,435362,435362,6.28,1.09,577.55,"October 05, 20",0.0109
1065,2020-10-02,560.54,574.67,559.18,570.12,513.45,523471,523471,9.58,1.71,566.1275,"October 02, 20",0.0171
1066,2020-10-01,576.84,578.24,566.17,567.91,511.46,551300,551300,-8.93,-1.55,572.29,"October 01, 20",-0.0155
1067,2020-09-30,557.2,570.89,555.11,563.55,507.53,741100,741100,6.35,1.14,561.6875,"September 30, 20",0.0114
1068,2020-09-29,560.16,562.2,552.37,554.8,499.65,409700,409700,-5.36,-0.95687,557.3825,"September 29, 20",-0.0095687
1069,2020-09-28,554.44,563.94,554.0,558.65,503.12,567033,567033,4.21,0.75932,557.7575,"September 28, 20",0.0075932
1070,2020-09-25,532.95,548.9,531.39,547.81,493.36,486400,486400,14.86,2.79,540.2625,"September 25, 20",0.0279
1071,2020-09-24,537.28,542.11,531.81,535.05,481.86,552840,552840,-2.23,-0.41505,536.5625,"September 24, 20",-0.0041505
1072,2020-09-23,550.31,552.87,538.05,538.54,485.01,511422,511422,-11.77,-2.14,544.9425,"September 23, 20",-0.0214
1073,2020-09-22,551.15,556.55,544.53,550.8,496.05,565647,565647,-0.35,-0.06350358,550.7575,"September 22, 20",-0.0006350358
1074,2020-09-21,548.63,556.76,542.52,552.59,497.66,659600,659600,3.96,0.7218,550.125,"September 21, 20",0.007218
1075,2020-09-18,548.47,559.16,548.47,556.92,501.56,2989114,2989114,8.45,1.54,553.255,"September 18, 20",0.0154
1076,2020-09-17,554.95,555.8,544.51,548.41,493.9,1033500,1033500,-6.54,-1.18,550.9175,"September 17, 20",-0.0118
1077,2020-09-16,551.82,566.88,548.8,561.73,505.89,1004027,1004027,9.91,1.8,557.3075,"September 16, 20",0.018
1078,2020-09-15,553.11,553.43,547.28,548.16,493.67,626477,626477,-4.95,-0.89494,550.495,"September 15, 20",-0.0089494
1079,2020-09-14,545.04,553.21,543.27,547.38,492.97,631447,631447,2.34,0.42933,547.225,"September 14, 20",0.0042933
1080,2020-09-11,544.48,547.45,537.86,541.2,487.4,660900,660900,-3.28,-0.60241,542.7475,"September 11, 20",-0.0060241
1081,2020-09-10,561.64,561.96,541.21,543.31,489.3,891033,891033,-18.33,-3.26,552.03,"September 10, 20",-0.0326
1082,2020-09-09,561.62,564.1,555.33,560.18,504.5,830507,830507,-1.44,-0.2564,560.3075,"September 09, 20",-0.002564
1083,2020-09-08,559.99,560.77,548.0,552.54,497.62,837193,837193,-7.45,-1.33,555.325,"September 08, 20",-0.0133
1084,2020-09-04,581.81,584.09,557.86,564.63,508.5,822107,822107,-17.18,-2.95,572.0975,"September 04, 20",-0.0295
1085,2020-09-03,604.13,605.45,573.7,579.12,521.55,739200,739200,-25.01,-4.14,590.6,"September 03, 20",-0.0414
1086,2020-09-02,597.74,609.69,594.19,608.0,544.29,684200,684200,10.26,1.72,602.405,"September 02, 20",0.0172
1087,2020-09-01,594.74,601.02,593.15,596.24,533.77,402818,402818,1.5,0.25221,596.2875,"September 01, 20",0.0025221
1088,2020-08-31,602.52,604.08,593.67,594.19,531.93,581734,581734,-8.33,-1.38,598.615,"August 31, 20",-0.0138
